date,stock,headline,summary,source,url,published_time,sentiment_score,sentiment_category
2025-07-10,AAPL,Nvidia's market value tops $4 trillion,"(Reuters) -Nvidia's stock market value ended the trading session above $4 trillion for the first time on Thursday, solidifying the chipmaker's position as Wall Street's central player in a race to dom...",Yahoo,https://finnhub.io/api/news?id=ae069212547c2a8e971d704d40a69734707376442f5dd1b1526c8e166b0530fe,2025-07-10 23:10:14,0.34372,Positive
2025-07-10,AAPL,Nvidia Stock Closes Above $4 Trillion Milestone for First Time,"The chip maker's shares are up more than 50% over the past three months, leading the broader market rebound after the tariff selloff....",Yahoo,https://finnhub.io/api/news?id=e81fba77c33ab675b8840356046fd4d5a0904c568664219aeea1f4a77fdf0ba9,2025-07-10 23:10:00,0.34372,Positive
2025-07-10,AAPL,Why Arm Holdings Gained 31% in the First Half of 2025,"The company continued to deliver solid growth on the top and bottom lines.  Shares of Arm Holdings (NASDAQ: ARM) continued to march higher in the first half of the year, benefiting from the broader ta...",Yahoo,https://finnhub.io/api/news?id=e7a6a4e0a99c42aad5f0bc85b42fae81c29ae8d1150fab993727f8af47f9ad23,2025-07-10 22:54:03,0.34372,Positive
2025-07-10,AAPL,"Apple Plans New MacBook Pro, iPhone 17e and iPads by Early 2026","(Bloomberg) -- Apple Inc. is planning an ambitious pipeline of new products for release during the first half of 2026, including a new low-end iPhone, multiple iPads and upgraded Macs. Most Read from ...",Yahoo,https://finnhub.io/api/news?id=746b5307a0b4dca15031292490d8c238a46ef2ed569b27f40ff64c3bdba4ed80,2025-07-10 22:05:09,0.34372,Positive
2025-07-10,AMZN,"Equity Markets Close Higher as Jobless Claims Fall, Fed Official Cautions on Tariffs","US benchmark equity indexes closed higher on Thursday after US jobless claims unexpectedly declined,...",Yahoo,https://finnhub.io/api/news?id=b257295e57aea975492baed61c55cbfa4f4c9c9470c01d3cba11e6ff373d4db2,2025-07-10 23:34:53,0.27956,Positive
2025-07-10,AMZN,Amazon Rival to Elon Musk’s SpaceX Has Arrived,"BofA’s Justin Post looked at costs for Amazon to build out its SpaceX Starlink competitor. It’ll be expensive, but Amazon has the money....",Yahoo,https://finnhub.io/api/news?id=889355880344196321dc4ad764cad101fc64096b77b57936f89700bd7a658985,2025-07-10 23:17:00,0.27956,Positive
2025-07-10,AMZN,Nvidia's market value tops $4 trillion,"(Reuters) -Nvidia's stock market value ended the trading session above $4 trillion for the first time on Thursday, solidifying the chipmaker's position as Wall Street's central player in a race to dom...",Yahoo,https://finnhub.io/api/news?id=ae069212547c2a8e971d704d40a69734707376442f5dd1b1526c8e166b0530fe,2025-07-10 23:10:14,0.27956,Positive
2025-07-10,AMZN,"Equity Markets Higher as Jobless Claims Decline, Fed Official Comments",US benchmark equity indexes are on track to close higher on Thursday after US jobless claims decline...,Yahoo,https://finnhub.io/api/news?id=6aad376bd5a00d19d2fd6d308de75dfccfc4aa557a34eb97a63bd25b990a43f0,2025-07-10 22:37:51,0.27956,Positive
2025-07-10,AMZN,The Nasdaq Is Mirroring the 1990s. It Isn’t a Bubble This Time.,"The stock index “continues to eerily track its mid-1990s bull run,” using 1995 and 2022 as starting points, DataTrek Research co-founder Jessica Rabe says....",Yahoo,https://finnhub.io/api/news?id=56d18c1f2b311c985cdd4f9102dedfe8a3131c138000ad67de41c4813db6d7c8,2025-07-10 22:37:00,0.27956,Positive
2025-07-10,AMZN,Growth Co Marketing Acquired by Chapter One,"MIAMI, FL / ACCESS Newswire / July 10, 2025 / Entrepreneurs Zain Yaqub, 25, and Owen Fitzgerald, 20, have successfully sold Growth Co Marketing, a B2B growth consulting firm, to Chapter One in a strat...",Yahoo,https://finnhub.io/api/news?id=68c2b3fa0f62c5b54edc2c5f23bd64b75c76d0b32695c785da45c8f1b112c47e,2025-07-10 22:30:00,0.27956,Positive
2025-07-10,AMZN,These Big Tech Stocks Are Cheaper than You Might Think Headed Into Earnings,"Nvidia  is one of those stocks.  Nvidia  is expected to report second-quarter earnings at the end of August, but investors could get a taste of demand for the company’s hardware as other tech companie...",Yahoo,https://finnhub.io/api/news?id=026334131a465118733e4c3012356d841a7edfbb12012ee580470c0279a5dc42,2025-07-10 22:29:00,0.27956,Positive
2025-07-10,AMZN,AI device startup that sued OpenAI and Jony Ive is now suing its own ex-employee over trade secrets,A secretive competition to pioneer a new way of communicating with artificial intelligence chatbots is getting a messy public airing as OpenAI fights a trademark dispute over its stealth hardware coll...,Yahoo,https://finnhub.io/api/news?id=12f4bf0e3fa5175bc2ad04558d7b942d0a13172809d074c2dfcc7426534ac63c,2025-07-10 22:20:12,0.27956,Positive
2025-07-10,AMZN,United Parcel Service (UPS): A Bull Case Theory,"We came across a bullish thesis on United Parcel Service on Pellom Value Investments’s Substack by Tyler Pellom. As of 1st July, United Parcel Service’s share was trading at $104.74. UPS’s trailing an...",Yahoo,https://finnhub.io/api/news?id=54199f73f5348a72d2af70333137565c9d9a480a7577633f572134879f283cc8,2025-07-10 22:10:57,0.27956,Positive
2025-07-10,AMZN,Vertiv Stock Is Falling. Amazon Launches a Cooling Competitor for AI Servers.,"Shares of  Vertiv Holdings  a leader in data-center cooling solutions, were falling Thursday after  Amazon.com  Amazon Web Services announced the development of a new cooling system of its own.  The i...",Yahoo,https://finnhub.io/api/news?id=2d47cd61254917d4e5f88990059759982b4d8fe8c38cba59b3f4afc9f50250d6,2025-07-10 22:01:00,0.27956,Positive
2025-07-10,GOOGL,Nvidia's market value tops $4 trillion,"(Reuters) -Nvidia's stock market value ended the trading session above $4 trillion for the first time on Thursday, solidifying the chipmaker's position as Wall Street's central player in a race to dom...",Yahoo,https://finnhub.io/api/news?id=ae069212547c2a8e971d704d40a69734707376442f5dd1b1526c8e166b0530fe,2025-07-10 23:10:14,0.3103,Positive
2025-07-10,GOOGL,Google's Gemini Just Unleashed AI Video Magic--But There's a Catch,A bold step into AI-generated video reveals stunning potential--and unsettling glitches investors shouldn't ignore....,Yahoo,https://finnhub.io/api/news?id=bbe844014dc51ad1279f5bb3ac39adb02f5977f874216c7ef8cf66838addd8fb,2025-07-10 22:50:09,0.3103,Positive
2025-07-10,GOOGL,These Big Tech Stocks Are Cheaper than You Might Think Headed Into Earnings,"Nvidia  is one of those stocks.  Nvidia  is expected to report second-quarter earnings at the end of August, but investors could get a taste of demand for the company’s hardware as other tech companie...",Yahoo,https://finnhub.io/api/news?id=026334131a465118733e4c3012356d841a7edfbb12012ee580470c0279a5dc42,2025-07-10 22:29:00,0.3103,Positive
2025-07-10,GOOGL,"AI Spending Is Surging. These Job Types Are at Risk, Say CIOs.",Surveys by Morgan Stanley and Piper Sandler show spending on artificial-intelligence infrastructure continues to rise....,Yahoo,https://finnhub.io/api/news?id=6700ccb971506075662885d4af3b97f9f553af68f672a7161d501385ab2620ec,2025-07-10 21:22:00,0.3103,Positive
2025-07-10,GOOGL,Analysis-Trump's antitrust enforcers 'get out of the way' of multibillion-dollar deals,"(Reuters) -President Donald Trump's antitrust enforcers recently cleared a string of multibillion-dollar deals in a week, demonstrating a willingness to settle with companies that marks a shift from t...",Yahoo,https://finnhub.io/api/news?id=fc5e83ba5dc7e5fabe6ca88364b33ea0ce6e4e5171a953bb241a0d9d0d36581e,2025-07-10 21:19:54,0.3103,Positive
2025-07-10,GOOGL,Google faces threat that could destroy its business,Google has never dealt with a problem like this....,Yahoo,https://finnhub.io/api/news?id=b76825316683bd7f52aa166158979d70c8c1d9dac81a419100364394300df370,2025-07-10 21:03:00,0.3103,Positive
2025-07-10,GOOGL,Samsung Plans to Unveil Its First Trifold Smartphone in 2025,"(Bloomberg) -- Samsung Electronics Co. plans to begin selling a so-called trifold smartphone later this year, joining rival Huawei Technologies Co. in exploring a relatively untested market that pushe...",Yahoo,https://finnhub.io/api/news?id=c9e69e1120e7e5fd79af07d53adbce570c3a3443226aa5b6a93a532402d1631e,2025-07-10 19:16:12,0.3103,Positive
2025-07-10,GOOGL,"These Tennessee companies are among the best in the world, according to Forbes. See where they rank",Forbes ranked these Tennessee-based companies as some of the best nationwide and internationally. See which made the list and where they rank....,Yahoo,https://finnhub.io/api/news?id=abf64d1676f3ab9e0d59a7d9cecee309d6a366ed499d0b20e625238d1beb1c24,2025-07-10 18:54:11,0.3103,Positive
2025-07-10,GOOGL,OpenAI to launch AI-powered web browser,"The move could impact Google's ad revenue, as Chrome is a key component of Alphabet's advertising business....",Yahoo,https://finnhub.io/api/news?id=9a4f3e6f5f7e19b7e6c71f6996a70fb1f5038c3f8ba7e5cc10720c320146ae12,2025-07-10 18:52:25,0.3103,Positive
2025-07-10,GOOGL,Google's Gemini Gets Video Feature,"Google's Gemini gets an update, allowing users to create 8-second video clips out of still photos. Bloomberg's Dana Wollman joins Caroline Hyde on Bloomberg Tech to discuss.......",Finnhub,https://finnhub.io/api/news?id=68869a11231526fe876c5a83392800c0c8f1f3ab4fb867955b9f63398f7cc773,2025-07-10 18:49:00,0.3103,Positive
2025-07-10,META,Musk Vs Zuckerberg: Two Richest Men Battle Over Daily Social Media Users,"Billionaires Elon Musk and Mark Zuckerberg almost ended up in a cage fight over their competing social media platforms. Musk may not want to look at the latest metrics from X rival Threads, or he coul...",Yahoo,https://finnhub.io/api/news?id=d31041ab04ad121d1fbed5cd555ce45df22273047ff1fb028c30ea9fb4c41c45,2025-07-11 02:31:32,0.45172,Positive
2025-07-10,META,Nvidia's market value tops $4 trillion,"(Reuters) -Nvidia's stock market value ended the trading session above $4 trillion for the first time on Thursday, solidifying the chipmaker's position as Wall Street's central player in a race to dom...",Yahoo,https://finnhub.io/api/news?id=ae069212547c2a8e971d704d40a69734707376442f5dd1b1526c8e166b0530fe,2025-07-10 23:10:14,0.45172,Positive
2025-07-10,META,"Indeed, Glassdoor to cut 1,300 jobs amid AI integration, memo shows","The cuts — representing about 6% of the HR technology segment workforce — are mostly in the U.S. and within the research and development, growth, and people and sustainability teams, but span all func...",Yahoo,https://finnhub.io/api/news?id=066719e694bc3bc361d7093233b03386818054e90d15fbd1cabb9f3ebcbb59b1,2025-07-10 22:59:18,0.45172,Positive
2025-07-10,META,Why Mark Zuckerberg’s AI talent spending spree is no guarantee that Meta will catch up to rivals,The Meta CEO is counting on his spending spree to fuel AI innovation as his tech giant falls behind its peers....,Yahoo,https://finnhub.io/api/news?id=b3bfb8eb9da90f7fe888ae089d4ae4d0f71866c0c5052bda93ad0cb0e10dd197,2025-07-10 22:50:45,0.45172,Positive
2025-07-10,META,"Meta Shares Updated Reels Ads Guide, Including Creative Tips",Some pointers for your Facebook and IG Reels approach....,Yahoo,https://finnhub.io/api/news?id=22263350a77c088b41cec1ea1461ee5f11050f50a96c35be59fa8cf7b2085a89,2025-07-10 22:13:05,0.45172,Positive
2025-07-10,META,Ex-Google and Meta Engineers Launch Nauma: Personalized Financial Planning Tools for Tech Professionals,"SAN FRANCISCO, July 10, 2025 (GLOBE NEWSWIRE) -- A team of former Google and Meta engineers has launched Nauma, a new platform designed to help people working in tech navigate complex financial decisi...",Yahoo,https://finnhub.io/api/news?id=9dc323c7f3d571db240e2f15ff4f635b16ec8afe0711de19e6701b95b4c74495,2025-07-10 22:09:00,0.45172,Positive
2025-07-10,META,"Meta: Hire Away, Zuckerberg",Meta's aggressive AI investments aim to dominate the personalized AI assistant space. Click here to find out why META stock is a Buy....,SeekingAlpha,https://finnhub.io/api/news?id=910bea6759f6e6777887e53ee04fafb94aec8ffa5128a0eb769fb2c3ae408651,2025-07-10 20:23:19,0.45172,Positive
2025-07-10,META,"xAI Launches Grok 4 Model, Which Has Achieved New Industry Benchmarks",xAIs latest model could be a big step up in AI development....,Yahoo,https://finnhub.io/api/news?id=551480b3ba2a0238296f0fe6be8c824862648530c471bf12a7f58b640db55c10,2025-07-10 19:27:58,0.45172,Positive
2025-07-10,META,Stock indexes are back at record highs — even if individual stocks aren’t,Stock indexes are back at record highs — even if individual stocks aren’t...,MarketWatch,https://finnhub.io/api/news?id=4aaa588342cb1f6f43d76aaa1f66aca54131a353d36b142c1151d84defd1a228,2025-07-10 19:23:00,0.45172,Positive
2025-07-10,META,"As X loses its CEO, daily usage is down and competition is growing","X is still the dominant social media platform, but its daily active user base has declined and competitor Threads is seeing higher rates of growth....",Yahoo,https://finnhub.io/api/news?id=18ecb4d69d3689a8bf0676f5beb6fd66d697953ba5ea31383e7e2146c768de2e,2025-07-10 19:16:54,0.45172,Positive
2025-07-10,AVGO,Nvidia Stock Closes Above $4 Trillion Milestone for First Time,"The chip maker's shares are up more than 50% over the past three months, leading the broader market rebound after the tariff selloff....",Yahoo,https://finnhub.io/api/news?id=e81fba77c33ab675b8840356046fd4d5a0904c568664219aeea1f4a77fdf0ba9,2025-07-10 23:10:00,0.27545,Positive
2025-07-10,AVGO,Stock indexes are back at record highs — even if individual stocks aren’t,Stock indexes are back at record highs — even if individual stocks aren’t...,MarketWatch,https://finnhub.io/api/news?id=4aaa588342cb1f6f43d76aaa1f66aca54131a353d36b142c1151d84defd1a228,2025-07-10 19:23:00,0.27545,Positive
2025-07-10,AVGO,MRVL's Modular Packaging Tech: Can it Transform AI Accelerators?,"Marvell Technology's modular RDL interposer tech targets multi-die AI accelerators, slashing latency and boosting yields....",Yahoo,https://finnhub.io/api/news?id=52f574207708d4c6ab928b7a35f6ca6da1b565ace62661bcbd45b8e1e6c5958d,2025-07-10 19:21:00,0.27545,Positive
2025-07-10,AVGO,Wall Street Doubles Down on AI Trade as Earnings Season Looms,Goldman Sachs led a parade of Wall Street firms boosting their price targets on the biggest AI-focused stocks....,Yahoo,https://finnhub.io/api/news?id=52e9cd6807d4751b5636d7cd1ba1f8338ee74ecef4172de551aad4f4443ac620,2025-07-10 19:14:00,0.27545,Positive
2025-07-10,AVGO,Stock Market Today: Can Nvidia power stocks to a new high? WK Kellogg deal in focus,"The chip giant's shares are off slightly, weighing on the major averages. WK Kellogg sells out for $3 billion....",Yahoo,https://finnhub.io/api/news?id=5bb71246f17638d1fd9f5b6bf2381572ddfbd3c3dea73ffe67a2ac88ecce4588,2025-07-10 19:13:15,0.27545,Positive
2025-07-10,AVGO,ClearBridge Appreciation Strategy Q2 2025 Commentary,"The ClearBridge Appreciation Strategy underperformed the benchmark S&P 500 Index in the second quarter. On an absolute basis, the Strategy had gains in seven of 11 sectors....",SeekingAlpha,https://finnhub.io/api/news?id=36b49fe24baf46d3641aa0635fc34d4f91dea6a18c599a0c0333ca041eeee170,2025-07-10 19:07:00,0.27545,Positive
2025-07-10,AVGO,ClearBridge Sustainability Leaders Strategy Q2 2025 Commentary,The ClearBridge Sustainability Leaders Strategy outperformed its Russell 3000 Index benchmark in the second quarter. Read more here....,SeekingAlpha,https://finnhub.io/api/news?id=991940b8a6fe1b8559ac220a62b1d68d99177d49b91770f4875576d8497a899e,2025-07-10 18:28:00,0.27545,Positive
